grupo,clave,valor,etiqueta,descripcion_es,enlace_wiki
Comercios y tiendas,shop,sports,shop=sports,Artículos deportivos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dsports
Comercios y tiendas,shop,outdoor,shop=outdoor,Equipo para actividades al aire libre,https://wiki.openstreetmap.org/wiki/Tag:shop%3Doutdoor
Comercios y tiendas,shop,fishing,shop=fishing,Artículos de pesca,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfishing
Comercios y tiendas,shop,hunting,shop=hunting,Caza,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhunting
Comercios y tiendas,shop,music,shop=music,Música (discos),https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmusic
Comercios y tiendas,shop,musical_instrument,shop=musical_instrument,Instrumentos musicales,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmusical_instrument
Comercios y tiendas,shop,photo,shop=photo,Estudio / tienda de fotografía,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dphoto
Comercios y tiendas,shop,art,shop=art,Galería / venta de arte,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dart
Comercios y tiendas,shop,craft,shop=craft,Manualidades,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcraft
Comercios y tiendas,shop,frame,shop=frame,Enmarcado,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dframe
Comercios y tiendas,shop,antiques,shop=antiques,Antigüedades,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dantiques
Comercios y tiendas,shop,second_hand,shop=second_hand,Segunda mano,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dsecond_hand
Comercios y tiendas,shop,charity,shop=charity,Tienda benéfica,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcharity
Comercios y tiendas,shop,party,shop=party,Artículos de fiesta / piñatería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dparty
Comercios y tiendas,shop,religion,shop=religion,Artículos religiosos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dreligion
Comercios y tiendas,shop,dry_cleaning,shop=dry_cleaning,Tintorería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddry_cleaning
Comercios y tiendas,shop,laundry,shop=laundry,Lavandería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dlaundry
Comercios y tiendas,shop,travel_agency,shop=travel_agency,Agencia de viajes,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtravel_agency
Comercios y tiendas,shop,funeral_directors,shop=funeral_directors,Funeraria,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuneral_directors
Comercios y tiendas,shop,money_lender,shop=money_lender,Prestamista,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmoney_lender
Comercios y tiendas,shop,pawnbroker,shop=pawnbroker,Casa de empeño,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dpawnbroker
Comercios y tiendas,shop,lottery,shop=lottery,Lotería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dlottery
Comercios y tiendas,shop,tobacco,shop=tobacco,Tabaquería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtobacco
Comercios y tiendas,shop,e-cigarette,shop=e-cigarette,Vapeo,https://wiki.openstreetmap.org/wiki/Tag:shop%3De-cigarette
Comercios y tiendas,shop,cannabis,shop=cannabis,Cannabis,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcannabis
Comercios y tiendas,shop,storage_rental,shop=storage_rental,Alquiler de bodegas / mini bodegas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dstorage_rental
Comercios y tiendas,shop,ticket,shop=ticket,Boletería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dticket
Comercios y tiendas,shop,rental,shop=rental,Alquiler (genérico),https://wiki.openstreetmap.org/wiki/Tag:shop%3Drental
Comercios y tiendas,shop,fuel,shop=fuel,Venta de combustible / gas propano,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfuel
Comercios y tiendas,shop,gas,shop=gas,Gas (cilindros),https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgas
Comercios y tiendas,shop,printing,shop=printing,Imprenta,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dprinting
Comercios y tiendas,shop,weapons,shop=weapons,Armería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dweapons
Comercios y tiendas,shop,erotic,shop=erotic,Sex shop,https://wiki.openstreetmap.org/wiki/Tag:shop%3Derotic
Comercios y tiendas,shop,vacant,shop=vacant,Local vacío,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dvacant
Comercios y tiendas,shop,yes,shop=yes,Comercio sin tipo definido,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dyes
Oficinas y empresas,office,company,office=company,Empresa (sede u oficina corporativa),https://wiki.openstreetmap.org/wiki/Tag:office%3Dcompany
Oficinas y empresas,office,government,office=government,Oficina de gobierno,https://wiki.openstreetmap.org/wiki/Tag:office%3Dgovernment
Oficinas y empresas,office,administrative,office=administrative,Oficina administrativa,https://wiki.openstreetmap.org/wiki/Tag:office%3Dadministrative
Oficinas y empresas,office,lawyer,office=lawyer,Bufete de abogados,https://wiki.openstreetmap.org/wiki/Tag:office%3Dlawyer
Oficinas y empresas,office,notary,office=notary,Notaría,https://wiki.openstreetmap.org/wiki/Tag:office%3Dnotary
Oficinas y empresas,office,accountant,office=accountant,Contadores / contabilidad,https://wiki.openstreetmap.org/wiki/Tag:office%3Daccountant
Oficinas y empresas,office,tax_advisor,office=tax_advisor,Asesoría fiscal,https://wiki.openstreetmap.org/wiki/Tag:office%3Dtax_advisor
Oficinas y empresas,office,financial,office=financial,Servicios financieros,https://wiki.openstreetmap.org/wiki/Tag:office%3Dfinancial
Oficinas y empresas,office,financial_advisor,office=financial_advisor,Asesoría financiera,https://wiki.openstreetmap.org/wiki/Tag:office%3Dfinancial_advisor
Oficinas y empresas,office,insurance,office=insurance,Aseguradora,https://wiki.openstreetmap.org/wiki/Tag:office%3Dinsurance
Oficinas y empresas,office,estate_agent,office=estate_agent,Inmobiliaria / bienes raíces,https://wiki.openstreetmap.org/wiki/Tag:office%3Destate_agent
Oficinas y empresas,office,property_management,office=property_management,Administración de propiedades,https://wiki.openstreetmap.org/wiki/Tag:office%3Dproperty_management
Oficinas y empresas,office,it,office=it,Empresa de tecnología / informática,https://wiki.openstreetmap.org/wiki/Tag:office%3Dit
Oficinas y empresas,office,telecommunication,office=telecommunication,Empresa de telecomunicaciones,https://wiki.openstreetmap.org/wiki/Tag:office%3Dtelecommunication
Oficinas y empresas,office,employment_agency,office=employment_agency,Agencia de empleo,https://wiki.openstreetmap.org/wiki/Tag:office%3Demployment_agency
Oficinas y empresas,office,travel_agent,office=travel_agent,Agencia de viajes (oficina),https://wiki.openstreetmap.org/wiki/Tag:office%3Dtravel_agent
Oficinas y empresas,office,architect,office=architect,Estudio de arquitectura,https://wiki.openstreetmap.org/wiki/Tag:office%3Darchitect
Oficinas y empresas,office,engineer,office=engineer,Ingeniería / consultoría técnica,https://wiki.openstreetmap.org/wiki/Tag:office%3Dengineer
Oficinas y empresas,office,surveyor,office=surveyor,Topografía,https://wiki.openstreetmap.org/wiki/Tag:office%3Dsurveyor
Oficinas y empresas,office,consulting,office=consulting,Consultoría,https://wiki.openstreetmap.org/wiki/Tag:office%3Dconsulting
Oficinas y empresas,office,advertising_agency,office=advertising_agency,Agencia de publicidad,https://wiki.openstreetmap.org/wiki/Tag:office%3Dadvertising_agency
Oficinas y empresas,office,marketing,office=marketing,Marketing,https://wiki.openstreetmap.org/wiki/Tag:office%3Dmarketing
Oficinas y empresas,office,graphic_design,office=graphic_design,Diseño gráfico,https://wiki.openstreetmap.org/wiki/Tag:office%3Dgraphic_design
Oficinas y empresas,office,newspaper,office=newspaper,Periódico / medio de comunicación,https://wiki.openstreetmap.org/wiki/Tag:office%3Dnewspaper
Oficinas y empresas,office,publisher,office=publisher,Editorial,https://wiki.openstreetmap.org/wiki/Tag:office%3Dpublisher
Oficinas y empresas,office,association,office=association,Asociación,https://wiki.openstreetmap.org/wiki/Tag:office%3Dassociation
Oficinas y empresas,office,ngo,office=ngo,ONG,https://wiki.openstreetmap.org/wiki/Tag:office%3Dngo
Oficinas y empresas,office,foundation,office=foundation,Fundación,https://wiki.openstreetmap.org/wiki/Tag:office%3Dfoundation
Oficinas y empresas,office,charity,office=charity,Organización benéfica,https://wiki.openstreetmap.org/wiki/Tag:office%3Dcharity
Oficinas y empresas,office,political_party,office=political_party,Partido político,https://wiki.openstreetmap.org/wiki/Tag:office%3Dpolitical_party
Oficinas y empresas,office,union,office=union,Sindicato,https://wiki.openstreetmap.org/wiki/Tag:office%3Dunion
Oficinas y empresas,office,religion,office=religion,Oficina religiosa,https://wiki.openstreetmap.org/wiki/Tag:office%3Dreligion
Oficinas y empresas,office,educational_institution,office=educational_institution,Institución educativa (oficina),https://wiki.openstreetmap.org/wiki/Tag:office%3Deducational_institution
Oficinas y empresas,office,research,office=research,Centro de investigación,https://wiki.openstreetmap.org/wiki/Tag:office%3Dresearch
Oficinas y empresas,office,coworking,office=coworking,Coworking,https://wiki.openstreetmap.org/wiki/Tag:office%3Dcoworking
Oficinas y empresas,office,diplomatic,office=diplomatic,Embajada / consulado,https://wiki.openstreetmap.org/wiki/Tag:office%3Ddiplomatic
Oficinas y empresas,office,logistics,office=logistics,Logística,https://wiki.openstreetmap.org/wiki/Tag:office%3Dlogistics
Oficinas y empresas,office,courier,office=courier,Mensajería / courier,https://wiki.openstreetmap.org/wiki/Tag:office%3Dcourier
Oficinas y empresas,office,moving_company,office=moving_company,Mudanzas,https://wiki.openstreetmap.org/wiki/Tag:office%3Dmoving_company
Oficinas y empresas,office,transport,office=transport,Empresa de transporte,https://wiki.openstreetmap.org/wiki/Tag:office%3Dtransport
Oficinas y empresas,office,energy_supplier,office=energy_supplier,Empresa de energía,https://wiki.openstreetmap.org/wiki/Tag:office%3Denergy_supplier
Oficinas y empresas,office,water_utility,office=water_utility,Empresa de agua,https://wiki.openstreetmap.org/wiki/Tag:office%3Dwater_utility
Oficinas y empresas,office,security,office=security,Empresa de seguridad,https://wiki.openstreetmap.org/wiki/Tag:office%3Dsecurity
Oficinas y empresas,office,construction_company,office=construction_company,Constructora,https://wiki.openstreetmap.org/wiki/Tag:office%3Dconstruction_company
Oficinas y empresas,office,event_management,office=event_management,Organización de eventos,https://wiki.openstreetmap.org/wiki/Tag:office%3Devent_management
Oficinas y empresas,office,quango,office=quango,Ente semipúblico,https://wiki.openstreetmap.org/wiki/Tag:office%3Dquango
Oficinas y empresas,office,yes,office=yes,Oficina sin tipo definido,https://wiki.openstreetmap.org/wiki/Tag:office%3Dyes
Talleres y oficios,craft,carpenter,craft=carpenter,Carpintería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dcarpenter
Talleres y oficios,craft,cabinet_maker,craft=cabinet_maker,Ebanistería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dcabinet_maker
Talleres y oficios,craft,joiner,craft=joiner,Carpintería de obra,https://wiki.openstreetmap.org/wiki/Tag:craft%3Djoiner
Talleres y oficios,craft,electrician,craft=electrician,Electricista,https://wiki.openstreetmap.org/wiki/Tag:craft%3Delectrician
Talleres y oficios,craft,electronics_repair,craft=electronics_repair,Reparación de electrónicos,https://wiki.openstreetmap.org/wiki/Tag:craft%3Delectronics_repair
Talleres y oficios,craft,plumber,craft=plumber,Fontanería / plomería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dplumber
Talleres y oficios,craft,hvac,craft=hvac,Aire acondicionado y climatización,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dhvac
Talleres y oficios,craft,painter,craft=painter,Pintor (de edificios),https://wiki.openstreetmap.org/wiki/Tag:craft%3Dpainter
Talleres y oficios,craft,tailor,craft=tailor,Sastre,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dtailor
Talleres y oficios,craft,dressmaker,craft=dressmaker,Modista,https://wiki.openstreetmap.org/wiki/Tag:craft%3Ddressmaker
Talleres y oficios,craft,shoemaker,craft=shoemaker,Zapatero / reparación de calzado,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dshoemaker
Talleres y oficios,craft,blacksmith,craft=blacksmith,Herrería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dblacksmith
Talleres y oficios,craft,metal_construction,craft=metal_construction,Estructuras metálicas,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dmetal_construction
Talleres y oficios,craft,welder,craft=welder,Soldadura,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dwelder
Talleres y oficios,craft,locksmith,craft=locksmith,Cerrajería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dlocksmith
Talleres y oficios,craft,roofer,craft=roofer,Techos,https://wiki.openstreetmap.org/wiki/Tag:craft%3Droofer
Talleres y oficios,craft,tiler,craft=tiler,Colocación de cerámica,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dtiler
Talleres y oficios,craft,floorer,craft=floorer,Instalación de pisos,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dfloorer
Talleres y oficios,craft,glaziery,craft=glaziery,Vidriería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dglaziery
Talleres y oficios,craft,insulation,craft=insulation,Aislamiento,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dinsulation
Talleres y oficios,craft,scaffolder,craft=scaffolder,Andamios,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dscaffolder
Talleres y oficios,craft,stonemason,craft=stonemason,Cantería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dstonemason
Talleres y oficios,craft,builder,craft=builder,Constructor / albañil,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbuilder
Talleres y oficios,craft,photographer,craft=photographer,Fotógrafo,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dphotographer
Talleres y oficios,craft,photographic_laboratory,craft=photographic_laboratory,Laboratorio fotográfico,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dphotographic_laboratory
Talleres y oficios,craft,jeweller,craft=jeweller,Joyero / orfebre,https://wiki.openstreetmap.org/wiki/Tag:craft%3Djeweller
Talleres y oficios,craft,watchmaker,craft=watchmaker,Relojero,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dwatchmaker
Talleres y oficios,craft,goldsmith,craft=goldsmith,Orfebre,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dgoldsmith
Talleres y oficios,craft,upholsterer,craft=upholsterer,Tapicería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dupholsterer
Talleres y oficios,craft,sawmill,craft=sawmill,Aserradero,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dsawmill
Talleres y oficios,craft,bakery,craft=bakery,Panadería artesanal,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbakery
Talleres y oficios,craft,brewery,craft=brewery,Cervecería artesanal,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbrewery
Talleres y oficios,craft,winery,craft=winery,Bodega de vino,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dwinery
Talleres y oficios,craft,distillery,craft=distillery,Destilería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Ddistillery
Talleres y oficios,craft,confectionery,craft=confectionery,Dulcería artesanal,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dconfectionery
Talleres y oficios,craft,caterer,craft=caterer,Servicio de catering,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dcaterer
Talleres y oficios,craft,gardener,craft=gardener,Jardinero,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dgardener
Talleres y oficios,craft,handicraft,craft=handicraft,Artesanía,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dhandicraft
Talleres y oficios,craft,pottery,craft=pottery,Alfarería / cerámica,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dpottery
Talleres y oficios,craft,sculptor,craft=sculptor,Escultor,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dsculptor
Talleres y oficios,craft,printer,craft=printer,Imprenta,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dprinter
Talleres y oficios,craft,printmaker,craft=printmaker,Grabador,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dprintmaker
Talleres y oficios,craft,signmaker,craft=signmaker,Rotulación / letreros,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dsignmaker
Talleres y oficios,craft,bookbinder,craft=bookbinder,Encuadernación,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbookbinder
Talleres y oficios,craft,boatbuilder,craft=boatbuilder,Constructor de embarcaciones,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dboatbuilder
Talleres y oficios,craft,key_cutter,craft=key_cutter,Copia de llaves,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dkey_cutter
Talleres y oficios,craft,optician,craft=optician,Óptico,https://wiki.openstreetmap.org/wiki/Tag:craft%3Doptician
Talleres y oficios,craft,agricultural_engines,craft=agricultural_engines,Maquinaria agrícola,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dagricultural_engines
Talleres y oficios,craft,window_construction,craft=window_construction,Ventanas,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dwindow_construction
Talleres y oficios,craft,parquet_layer,craft=parquet_layer,Parqué,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dparquet_layer
Talleres y oficios,craft,cleaning,craft=cleaning,Limpieza,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dcleaning
Talleres y oficios,craft,clockmaker,craft=clockmaker,Relojería,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dclockmaker
Talleres y oficios,craft,beekeeper,craft=beekeeper,Apicultor,https://wiki.openstreetmap.org/wiki/Tag:craft%3Dbeekeeper
Ocio y recreación,leisure,park,leisure=park,Parque,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpark
Ocio y recreación,leisure,playground,leisure=playground,Parque infantil / juegos,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dplayground
Ocio y recreación,leisure,garden,leisure=garden,Jardín,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dgarden
Ocio y recreación,leisure,nature_reserve,leisure=nature_reserve,Reserva natural,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dnature_reserve
Ocio y recreación,leisure,sports_centre,leisure=sports_centre,Centro deportivo / complejo deportivo,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_centre
Ocio y recreación,leisure,fitness_centre,leisure=fitness_centre,Gimnasio,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dfitness_centre
Ocio y recreación,leisure,fitness_station,leisure=fitness_station,Estación de ejercicio al aire libre,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dfitness_station
Ocio y recreación,leisure,stadium,leisure=stadium,Estadio,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dstadium
Ocio y recreación,leisure,pitch,leisure=pitch,"Cancha (fútbol, básquet, etc.)",https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpitch
Ocio y recreación,leisure,track,leisure=track,Pista de atletismo / carreras,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dtrack
Ocio y recreación,leisure,sports_hall,leisure=sports_hall,Polideportivo cubierto,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsports_hall
Ocio y recreación,leisure,swimming_pool,leisure=swimming_pool,Piscina,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dswimming_pool
Ocio y recreación,leisure,swimming_area,leisure=swimming_area,Zona de baño,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dswimming_area
Ocio y recreación,leisure,water_park,leisure=water_park,Parque acuático,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dwater_park
Ocio y recreación,leisure,golf_course,leisure=golf_course,Campo de golf,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dgolf_course
Ocio y recreación,leisure,miniature_golf,leisure=miniature_golf,Minigolf,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dminiature_golf
Ocio y recreación,leisure,ice_rink,leisure=ice_rink,Pista de hielo,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dice_rink
Ocio y recreación,leisure,bowling_alley,leisure=bowling_alley,Boliche,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dbowling_alley
Ocio y recreación,leisure,amusement_arcade,leisure=amusement_arcade,Sala de máquinas / arcade,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Damusement_arcade
Ocio y recreación,leisure,adult_gaming_centre,leisure=adult_gaming_centre,Sala de tragamonedas,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dadult_gaming_centre
Ocio y recreación,leisure,dance,leisure=dance,Salón de baile,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Ddance
Ocio y recreación,leisure,escape_game,leisure=escape_game,Sala de escape,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Descape_game
Ocio y recreación,leisure,trampoline_park,leisure=trampoline_park,Parque de trampolines,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dtrampoline_park
Ocio y recreación,leisure,marina,leisure=marina,Marina / puerto deportivo,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dmarina
Ocio y recreación,leisure,slipway,leisure=slipway,Rampa para botes,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dslipway
Ocio y recreación,leisure,beach_resort,leisure=beach_resort,Balneario / club de playa,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dbeach_resort
Ocio y recreación,leisure,resort,leisure=resort,Resort,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dresort
Ocio y recreación,leisure,picnic_table,leisure=picnic_table,Mesa de picnic,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dpicnic_table
Ocio y recreación,leisure,dog_park,leisure=dog_park,Parque para perros,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Ddog_park
Ocio y recreación,leisure,bird_hide,leisure=bird_hide,Observatorio de aves,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dbird_hide
Ocio y recreación,leisure,firepit,leisure=firepit,Fogata,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dfirepit
Ocio y recreación,leisure,sauna,leisure=sauna,Sauna,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsauna
Ocio y recreación,leisure,outdoor_seating,leisure=outdoor_seating,Área de mesas al aire libre,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Doutdoor_seating
Ocio y recreación,leisure,horse_riding,leisure=horse_riding,Equitación,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dhorse_riding
Ocio y recreación,leisure,hackerspace,leisure=hackerspace,Hackerspace,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dhackerspace
Ocio y recreación,leisure,summer_camp,leisure=summer_camp,Campamento,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dsummer_camp
Ocio y recreación,leisure,bandstand,leisure=bandstand,Kiosco de música,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dbandstand
Ocio y recreación,leisure,common,leisure=common,Terreno comunal,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dcommon
Ocio y recreación,leisure,disc_golf_course,leisure=disc_golf_course,Campo de disc golf,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Ddisc_golf_course
Ocio y recreación,leisure,bleachers,leisure=bleachers,Gradería,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dbleachers
Ocio y recreación,leisure,tanning_salon,leisure=tanning_salon,Bronceado,https://wiki.openstreetmap.org/wiki/Tag:leisure%3Dtanning_salon
Turismo y hospedaje,tourism,hotel,tourism=hotel,Hotel,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhotel
Turismo y hospedaje,tourism,motel,tourism=motel,Motel,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmotel
Turismo y hospedaje,tourism,hostel,tourism=hostel,Hostal,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dhostel
Turismo y hospedaje,tourism,guest_house,tourism=guest_house,Casa de huéspedes / bed and breakfast,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dguest_house
Turismo y hospedaje,tourism,apartment,tourism=apartment,Apartamento turístico,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dapartment
Turismo y hospedaje,tourism,chalet,tourism=chalet,Cabaña,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dchalet
Turismo y hospedaje,tourism,camp_site,tourism=camp_site,Camping,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcamp_site
Turismo y hospedaje,tourism,caravan_site,tourism=caravan_site,Zona para casas rodantes,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcaravan_site
Turismo y hospedaje,tourism,alpine_hut,tourism=alpine_hut,Refugio de montaña,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dalpine_hut
Turismo y hospedaje,tourism,wilderness_hut,tourism=wilderness_hut,Refugio básico,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dwilderness_hut
Turismo y hospedaje,tourism,camp_pitch,tourism=camp_pitch,Parcela de camping,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcamp_pitch
Turismo y hospedaje,tourism,attraction,tourism=attraction,Atracción turística,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dattraction
Turismo y hospedaje,tourism,museum,tourism=museum,Museo,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dmuseum
Turismo y hospedaje,tourism,gallery,tourism=gallery,Galería de arte,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dgallery
Turismo y hospedaje,tourism,artwork,tourism=artwork,Obra de arte / escultura pública,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dartwork
Turismo y hospedaje,tourism,viewpoint,tourism=viewpoint,Mirador,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dviewpoint
Turismo y hospedaje,tourism,information,tourism=information,Información turística,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dinformation
Turismo y hospedaje,tourism,picnic_site,tourism=picnic_site,Área de picnic,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dpicnic_site
Turismo y hospedaje,tourism,theme_park,tourism=theme_park,Parque de diversiones,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dtheme_park
Turismo y hospedaje,tourism,zoo,tourism=zoo,Zoológico,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dzoo
Turismo y hospedaje,tourism,aquarium,tourism=aquarium,Acuario,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Daquarium
Turismo y hospedaje,tourism,trail_riding_station,tourism=trail_riding_station,Estación para cabalgatas,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dtrail_riding_station
Turismo y hospedaje,tourism,yes,tourism=yes,Sitio turístico sin tipo definido,https://wiki.openstreetmap.org/wiki/Tag:tourism%3Dyes
Salud,healthcare,hospital,healthcare=hospital,Hospital,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dhospital
Salud,healthcare,clinic,healthcare=clinic,Clínica,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dclinic
Salud,healthcare,doctor,healthcare=doctor,Médico,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Ddoctor
Salud,healthcare,dentist,healthcare=dentist,Dentista,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Ddentist
Salud,healthcare,pharmacy,healthcare=pharmacy,Farmacia,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dpharmacy
Salud,healthcare,laboratory,healthcare=laboratory,Laboratorio clínico,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dlaboratory
Salud,healthcare,physiotherapist,healthcare=physiotherapist,Fisioterapia,https://wiki.openstreetmap.org/wiki/Tag:healthcare%3Dphysiotherapist
